url_PI,name,set,url_CM
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Friday-Night-Magic-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Friday-Night-Magic-Promos/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Tempest,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Archenemy,https://www.cardmarket.com/en/Magic/Products/Singles/Archenemy/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Premium-Deck-Series-Graveborn,https://www.cardmarket.com/en/Magic/Products/Singles/Premium-Deck-Series-Graveborn/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Battle-Royale,https://www.cardmarket.com/en/Magic/Products/Singles/Battle-Royale/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Ultimate-Masters,https://www.cardmarket.com/en/Magic/Products/Singles/Ultimate-Masters/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Ultimate-Box-Toppers,https://www.cardmarket.com/en/Magic/Products/Singles/Ultimate-Box-Toppers/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Jumpstart,https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=4217,Reanimate,Commander-Collection-Black,https://www.cardmarket.com/en/Magic/Products/Singles/Commander-Collection-Black/Reanimate
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Seventh-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Seventh-Edition/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Eighth-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Eighth-Edition/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Ninth-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Ninth-Edition/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Exodus,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Tenth-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Tenth-Edition/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Magic-2010,https://www.cardmarket.com/en/Magic/Products/Singles/Magic-2010/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Premium-Deck-Series-Slivers,https://www.cardmarket.com/en/Magic/Products/Singles/Premium-Deck-Series-Slivers/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Duels-Of-The-Planeswalkers-Decks,https://www.cardmarket.com/en/Magic/Products/Singles/Duels-Of-The-Planeswalkers-Decks/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Duel-Decks-Mind-vs-Might,https://www.cardmarket.com/en/Magic/Products/Singles/Duel-Decks-Mind-vs-Might/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=889,Coat-of-Arms,Mystery-Booster,https://www.cardmarket.com/en/Magic/Products/Singles/Mystery-Booster/Coat-of-Arms
https://en.play-in.com/rachat/magic/result.php?i=7731,Humility,Tempest,https://www.cardmarket.com/en/Magic/Products/Singles/Tempest/Humility
https://en.play-in.com/rachat/magic/result.php?i=15184,Linvala-Keeper-of-Silence,Rise-of-the-Eldrazi,https://www.cardmarket.com/en/Magic/Products/Singles/Rise-of-the-Eldrazi/Linvala-Keeper-of-Silence
https://en.play-in.com/rachat/magic/result.php?i=15184,Linvala-Keeper-of-Silence,Modern-Masters-2017,https://www.cardmarket.com/en/Magic/Products/Singles/Modern-Masters-2017/Linvala-Keeper-of-Silence
https://en.play-in.com/rachat/magic/result.php?i=15184,Linvala-Keeper-of-Silence,Jumpstart,https://www.cardmarket.com/en/Magic/Products/Singles/Jumpstart/Linvala-Keeper-of-Silence
https://en.play-in.com/rachat/magic/result.php?i=2893,Mind-Over-Matter,Exodus,https://www.cardmarket.com/en/Magic/Products/Singles/Exodus/Mind-Over-Matter
https://en.play-in.com/rachat/magic/result.php?i=28600,Clearwater-Pathway-Murkwater-pathway,Zendikar-Rising,https://www.cardmarket.com/en/Magic/Products/Singles/Zendikar-Rising/Clearwater-Pathway-Murkwater-pathway
https://en.play-in.com/rachat/magic/result.php?i=28600,Clearwater-Pathway-Murkwater-pathway,Zendikar-Rising-Extras,https://www.cardmarket.com/en/Magic/Products/Singles/Zendikar-Rising-Extras/Clearwater-Pathway-Murkwater-pathway
https://en.play-in.com/rachat/magic/result.php?i=28600,Clearwater-Pathway-Murkwater-pathway,Secret-Lair-Ultimate-Edition,https://www.cardmarket.com/en/Magic/Products/Singles/Secret-Lair-Ultimate-Edition/Clearwater-Pathway-Murkwater-pathway
https://en.play-in.com/rachat/magic/result.php?i=10291,Gaeas-Cradle,Judge-Rewards-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Judge-Rewards-Promos/Gaeas-Cradle
https://en.play-in.com/rachat/magic/result.php?i=8098,Umezawas-Jitte,Betrayers-of-Kamigawa,https://www.cardmarket.com/en/Magic/Products/Singles/Betrayers-of-Kamigawa/Umezawas-Jitte
https://en.play-in.com/rachat/magic/result.php?i=8098,Umezawas-Jitte,Grand-Prix-Promos,https://www.cardmarket.com/en/Magic/Products/Singles/Grand-Prix-Promos/Umezawas-Jitte
https://en.play-in.com/rachat/magic/result.php?i=8098,Umezawas-Jitte,From-the-Vault-Lore,https://www.cardmarket.com/en/Magic/Products/Singles/From-the-Vault-Lore/Umezawas-Jitte
https://en.play-in.com/rachat/magic/result.php?i=8098,Umezawas-Jitte,The-List,https://www.cardmarket.com/en/Magic/Products/Singles/The-List/Umezawas-Jitte
https://en.play-in.com/rachat/magic/result.php?i=10855,Necroskitter,Eventide,https://www.cardmarket.com/en/Magic/Products/Singles/Eventide/Necroskitter
https://en.play-in.com/rachat/magic/result.php?i=10855,Necroskitter,Modern-Masters-2015,https://www.cardmarket.com/en/Magic/Products/Singles/Modern-Masters-2015/Necroskitter
https://en.play-in.com/rachat/magic/result.php?i=4158,Ravages-of-War,Portal-Three-Kingdoms,https://www.cardmarket.com/en/Magic/Products/Singles/Portal-Three-Kingdoms/Ravages-of-War
https://en.play-in.com/rachat/magic/result.php?i=1129,Counterbalance,Coldsnap,https://www.cardmarket.com/en/Magic/Products/Singles/Coldsnap/Counterbalance
https://en.play-in.com/rachat/magic/result.php?i=1129,Counterbalance,Amonkhet-Invocations,https://www.cardmarket.com/en/Magic/Products/Singles/Amonkhet-Invocations/Counterbalance
https://en.play-in.com/rachat/magic/result.php?i=4864,Tangle-Wire,Nemesis,https://www.cardmarket.com/en/Magic/Products/Singles/Nemesis/Tangle-Wire
https://en.play-in.com/rachat/magic/result.php?i=4864,Tangle-Wire,From-the-Vault-Twenty,https://www.cardmarket.com/en/Magic/Products/Singles/From-the-Vault-Twenty/Tangle-Wire
